NIS;Categoria;Consumo;Mes
0083-0045;BT RESIDENCIAL;423;Abril
0083-0048;BT RESIDENCIAL;122;Abril
0083-0056;BT RESIDENCIAL;403;Abril
0083-0058;BT RESIDENCIAL;917;Abril
0083-0070;BT RESIDENCIAL;452;Abril
0083-0072;BT GENERAL;5878;Abril
0083-0074;BT RESIDENCIAL;350;Abril
0083-0080;BT RESIDENCIAL;253;Abril
0083-0085;BT RESIDENCIAL;332;Abril
0083-0094;BT SOCIAL;159;Abril
0083-0095;BT RESIDENCIAL;322;Abril
0083-0102;BT RESIDENCIAL;613;Abril
0083-0106;BT RESIDENCIAL;30;Abril
0083-0110;BT RESIDENCIAL;884;Abril
0083-0111;BT SOCIAL;390;Abril
0083-0120;BT RESIDENCIAL;409;Abril
0083-0122;BT SOCIAL;117;Abril
0083-0123;BT SOCIAL;530;Abril
0083-0124;BT RESIDENCIAL;557;Abril
0083-0129;BT RESIDENCIAL;414;Abril
0083-0130;BT SOCIAL;232;Abril
0083-0131;BT SOCIAL;15;Abril
0083-0132;BT RESIDENCIAL;139;Abril
0083-0140;BT GENERAL;72;Abril
0083-0141;BT RESIDENCIAL;623;Abril
0083-0142;BT RESIDENCIAL;729;Abril
0083-0143;BT RESIDENCIAL;774;Abril
0083-0144;BT RESIDENCIAL;333;Abril
0083-0147;BT RESIDENCIAL;562;Abril
0083-0148;BT SOCIAL;716;Abril
0083-0153;BT RESIDENCIAL;454;Abril
0083-0155;BT RESIDENCIAL;652;Abril
0083-0156;BT SOCIAL;182;Abril
0083-0157;BT GENERAL;553;Abril
0083-0158;BT RESIDENCIAL;645;Abril
0083-0159;BT RESIDENCIAL;1137;Abril
0083-0160;BT RESIDENCIAL;803;Abril
0083-0165;BT RESIDENCIAL;68;Abril
0083-0166;BT RESIDENCIAL;434;Abril
0083-0169;BT RESIDENCIAL;497;Abril
0083-0170;BT RESIDENCIAL;359;Abril
0083-0171;BT RESIDENCIAL;241;Abril
0083-0172;BT RESIDENCIAL;95;Abril
0083-0180;BT RESIDENCIAL;303;Abril
0083-0181;BT RESIDENCIAL;489;Abril
0083-0182;BT RESIDENCIAL;1256;Abril
0083-0185;BT GENERAL;176;Abril
0083-0193;BT GENERAL;466;Abril
0083-0195;BT GENERAL;120;Abril
0083-0196;BT RESIDENCIAL;692;Abril
0083-0200;BT SOCIAL;15;Abril
0083-0204;BT SOCIAL;293;Abril
0083-0205;BT RESIDENCIAL;30;Abril
0083-0206;BT RESIDENCIAL;209;Abril
0083-0207;BT RESIDENCIAL;476;Abril
0083-0209;BT RESIDENCIAL;955;Abril
0083-0210;BT RESIDENCIAL;369;Abril
0083-0212;BT SOCIAL;15;Abril
0083-0214;BT SOCIAL;179;Abril
0083-0215;BT RESIDENCIAL;292;Abril
0083-0217;BT RESIDENCIAL;529;Abril
0083-0221;BT RESIDENCIAL;1096;Abril
0083-0222;BT RESIDENCIAL;277;Abril
0083-0224;BT RESIDENCIAL;1592;Abril
0083-0225;BT RESIDENCIAL;86;Abril
0083-0226;BT SOCIAL;435;Abril
0083-0257;BT RESIDENCIAL;1563;Abril
0083-0258;BT RESIDENCIAL;1096;Abril
0083-0264;BT RESIDENCIAL;830;Abril
0083-0266;BT RESIDENCIAL;259;Abril
0083-0268;BT RESIDENCIAL;30;Abril
0083-0308;BT SOCIAL;123;Abril
0083-0309;BT SOCIAL;15;Abril
0083-0315;BT RESIDENCIAL;545;Abril
0083-0352;BT SOCIAL;276;Abril
0083-0357;BT SOCIAL;80;Abril
0083-0358;BT RESIDENCIAL;30;Abril
0083-0360;BT SOCIAL;285;Abril
0083-0362;BT RESIDENCIAL;119;Abril
0083-0363;BT GENERAL;30;Abril
0083-0367;BT SOCIAL;229;Abril
0083-0368;BT SOCIAL;156;Abril
0083-0369;BT RESIDENCIAL;291;Abril
0083-0370;BT SOCIAL;251;Abril
0083-0405;BT RESIDENCIAL;30;Abril
0083-0409;BT RESIDENCIAL;38;Abril
0083-0410;BT SOCIAL;15;Abril
0083-0413;BT RESIDENCIAL;106;Abril
0083-0414;BT SOCIAL;155;Abril
0083-0416;BT RESIDENCIAL;190;Abril
0083-0417;BT RESIDENCIAL;326;Abril
0083-0418;BT RESIDENCIAL;30;Abril
0083-0419;BT SOCIAL;174;Abril
0083-0420;BT SOCIAL;255;Abril
0083-0421;BT RESIDENCIAL;208;Abril
0083-0423;BT SOCIAL;252;Abril
0083-0424;BT SOCIAL;149;Abril
0083-0426;BT RESIDENCIAL;371;Abril
0083-0427;BT SOCIAL;168;Abril
0083-0428;BT GENERAL;31;Abril
0083-0429;BT SOCIAL;327;Abril
0083-0432;BT RESIDENCIAL;159;Abril
0083-0433;BT SOCIAL;137;Abril
0083-0438;BT SOCIAL;146;Abril
0083-0440;BT RESIDENCIAL;93;Abril
0083-0441;BT RESIDENCIAL;228;Abril
0083-0444;BT RESIDENCIAL;171;Abril
0083-0445;BT SOCIAL;189;Abril
0083-0448;BT SOCIAL;208;Abril
0083-0451;BT SOCIAL;199;Abril
0083-0457;BT SOCIAL;26;Abril
0083-0458;BT RESIDENCIAL;218;Abril
0083-0459;BT RESIDENCIAL;197;Abril
0083-0460;BT RESIDENCIAL;87;Abril
0083-0461;BT SOCIAL;107;Abril
0083-0462;BT SOCIAL;181;Abril
0083-0463;BT SOCIAL;301;Abril
0083-0465;BT SOCIAL;145;Abril
0083-0467;BT SOCIAL;167;Abril
0083-0475;BT RESIDENCIAL;157;Abril
0083-0503;MT GENERAL;1360;Abril
0083-0510;BT SOCIAL;36;Abril
0083-0511;BT RESIDENCIAL;503;Abril
0083-0514;BT RESIDENCIAL;150;Abril
0083-0515;BT RESIDENCIAL;307;Abril
0083-0516;BT RESIDENCIAL;427;Abril
0083-0517;BT RESIDENCIAL;296;Abril
0083-0518;BT RESIDENCIAL;452;Abril
0083-0519;BT RESIDENCIAL;105;Abril
0083-0520;BT RESIDENCIAL;93;Abril
0083-0521;BT RESIDENCIAL;39;Abril
0083-0522;BT RESIDENCIAL;42;Abril
0083-0524;BT RESIDENCIAL;222;Abril
0083-0525;BT RESIDENCIAL;306;Abril
0083-0526;BT SOCIAL;256;Abril
0083-0533;BT SOCIAL;156;Abril
0083-0534;BT RESIDENCIAL;30;Abril
0083-0535;BT SOCIAL;196;Abril
0083-0537;BT RESIDENCIAL;54;Abril
0083-0543;BT RESIDENCIAL;228;Abril
0083-0545;BT SOCIAL;247;Abril
0083-0546;BT RESIDENCIAL;41;Abril
0083-0549;BT RESIDENCIAL;160;Abril
0083-0551;BT SOCIAL;143;Abril
0083-0554;BT SOCIAL;214;Abril
0083-0556;BT RESIDENCIAL;294;Abril
0083-0602;BT SOCIAL;88;Abril
0083-0605;BT SOCIAL;191;Abril
0083-0606;BT SOCIAL;330;Abril
0083-0607;BT SOCIAL;152;Abril
0083-0610;BT SOCIAL;244;Abril
0083-0612;BT SOCIAL;166;Abril
0083-0613;BT RESIDENCIAL;402;Abril
0083-0614;BT SOCIAL;332;Abril
0253-0145;BT RESIDENCIAL;1958;Abril
0253-0150;BT RESIDENCIAL;1011;Abril
0253-0170;BT RESIDENCIAL;30;Abril
0253-0180;BT RESIDENCIAL;962;Abril
0254-0060;BT RESIDENCIAL;850;Abril
0254-0115;BT GENERAL;30;Abril
0254-0125;BT RESIDENCIAL;1696;Abril
0254-0155;BT RESIDENCIAL;569;Abril
0254-0156;BT RESIDENCIAL;833;Abril
0254-0160;BT RESIDENCIAL;629;Abril
0254-0170;BT RESIDENCIAL;156743;Abril
0254-0185;BT RESIDENCIAL;1099;Abril
0254-0215;BT RESIDENCIAL;555;Abril
0255-0090;BT RESIDENCIAL;675;Abril
0255-0105;BT RESIDENCIAL;808;Abril
0255-0135;BT RESIDENCIAL;3139;Abril
0255-0155;BT RESIDENCIAL;2983;Abril
0255-0165;BT RESIDENCIAL;821;Abril
0256-0050;BT RESIDENCIAL;1644;Abril
0256-0070;BT RESIDENCIAL;417;Abril
0256-0075;BT RESIDENCIAL;206;Abril
0256-0105;BT RESIDENCIAL;971;Abril
0256-0115;BT RESIDENCIAL;873;Abril
0256-0135;BT RESIDENCIAL;902;Abril
0256-0150;BT RESIDENCIAL;1036;Abril
0256-0155;BT RESIDENCIAL;423;Abril
0256-0165;BT RESIDENCIAL;704;Abril
0256-0185;BT RESIDENCIAL;997;Abril
0256-0225;BT RESIDENCIAL;456;Abril
0256-0530;BT RESIDENCIAL;730;Abril
0256-0575;BT RESIDENCIAL;3380;Abril
0256-0585;BT RESIDENCIAL;135;Abril
0256-0595;BT RESIDENCIAL;865;Abril
0256-0625;BT RESIDENCIAL;935;Abril
0256-0695;BT RESIDENCIAL;991;Abril
0257-0299;MT GENERAL;2066;Abril
0300-0009;BT GENERAL;4408;Abril
0300-0010;BT GENERAL;445;Abril
0300-0014;BT GENERAL;30;Abril
0300-0370;BT GENERAL;5361;Abril
0300-0381;BT RESIDENCIAL;3674;Abril
0300-0570;BT RESIDENCIAL;3187;Abril
0300-0610;BT RESIDENCIAL;3530;Abril
0301-0345;BT GENERAL;2564;Abril
0301-0350;BT GENERAL;3907;Abril
0306-0004;BT RESIDENCIAL;1322;Abril
0306-0005;BT INDUSTRIAL;3843;Abril
0306-0006;BT RESIDENCIAL;960;Abril
0306-0007;BT INDUSTRIAL;5603;Abril
0306-0010;BT RESIDENCIAL;5550;Abril
0306-0016;BT RESIDENCIAL;1066;Abril
0306-0018;BT RESIDENCIAL;729;Abril
0306-0022;BT RESIDENCIAL;570;Abril
0306-0024;BT RESIDENCIAL;4494;Abril
0306-0030;BT RESIDENCIAL;2201;Abril
0306-0032;BT RESIDENCIAL;465;Abril
0306-0102;BT RESIDENCIAL;1230;Abril
0306-0103;BT RESIDENCIAL;1351;Abril
0306-0104;BT RESIDENCIAL;473;Abril
0306-0105;BT RESIDENCIAL;1438;Abril
0306-0108;BT RESIDENCIAL;2429;Abril
0006-0680;BT RESIDENCIAL;178;Abril
0006-0706;BT GENERAL;3032;Abril
0006-0707;BT RESIDENCIAL;30;Abril
0006-0708;BT RESIDENCIAL;621;Abril
0006-0709;BT RESIDENCIAL;932;Abril
0006-0710;BT RESIDENCIAL;30;Abril
0006-0711;BT RESIDENCIAL;488;Abril
0006-0715;BT GUBERNAMENTAL;811;Abril
0083-0904;BT RESIDENCIAL;559;Abril
0083-0905;BT RESIDENCIAL;778;Abril
0083-0907;BT RESIDENCIAL;526;Abril
0083-0908;BT RESIDENCIAL;1051;Abril
0083-0909;BT RESIDENCIAL;622;Abril
0083-0914;BT RESIDENCIAL;572;Abril
0083-0915;BT RESIDENCIAL;120;Abril
0083-0918;BT RESIDENCIAL;476;Abril
0083-0919;BT RESIDENCIAL;293;Abril
0083-0920;BT RESIDENCIAL;732;Abril
0083-0921;BT RESIDENCIAL;148;Abril
0083-0922;BT RESIDENCIAL;716;Abril
0083-0925;BT RESIDENCIAL;426;Abril
0083-0926;BT RESIDENCIAL;364;Abril
0083-0927;BT RESIDENCIAL;572;Abril
0083-0928;BT RESIDENCIAL;120;Abril
0083-0929;BT RESIDENCIAL;309;Abril
0306-0112;BT RESIDENCIAL;630;Abril
0306-0113;BT RESIDENCIAL;1131;Abril
0306-0114;BT RESIDENCIAL;1941;Abril
0306-0115;BT RESIDENCIAL;545;Abril
0306-0116;BT RESIDENCIAL;565;Abril
0306-0117;BT RESIDENCIAL;1130;Abril
0306-0118;BT RESIDENCIAL;931;Abril
0306-0119;BT RESIDENCIAL;903;Abril
0306-0120;BT RESIDENCIAL;595;Abril
0306-0121;BT RESIDENCIAL;841;Abril
0306-0122;BT RESIDENCIAL;849;Abril
0306-0123;BT RESIDENCIAL;1233;Abril
0306-0127;BT RESIDENCIAL;534;Abril
0306-0128;BT RESIDENCIAL;971;Abril
0306-0129;BT RESIDENCIAL;1135;Abril
0306-0130;BT RESIDENCIAL;2663;Abril
0306-0202;BT RESIDENCIAL;1780;Abril
0306-0203;BT RESIDENCIAL;529;Abril
0306-0204;BT RESIDENCIAL;1262;Abril
0306-0205;BT RESIDENCIAL;1004;Abril
0306-0206;BT RESIDENCIAL;1445;Abril
0306-0209;BT RESIDENCIAL;5344;Abril
0306-0210;BT RESIDENCIAL;290;Abril
0306-0211;BT RESIDENCIAL;370;Abril
0306-0212;BT RESIDENCIAL;215;Abril
0306-0213;BT RESIDENCIAL;774;Abril
0306-0216;BT RESIDENCIAL;132;Abril
0306-0217;BT RESIDENCIAL;1032;Abril
0306-0218;BT RESIDENCIAL;2376;Abril
0306-0219;BT RESIDENCIAL;1164;Abril
0306-0224;BT RESIDENCIAL;2540;Abril
0306-0225;BT RESIDENCIAL;1532;Abril
0306-0226;BT RESIDENCIAL;1546;Abril
0083-0930;BT RESIDENCIAL;1839;Abril
0083-0931;BT RESIDENCIAL;640;Abril
0083-0932;BT RESIDENCIAL;1636;Abril
0083-0933;BT RESIDENCIAL;408;Abril
0083-0934;BT RESIDENCIAL;1015;Abril
0083-0935;BT RESIDENCIAL;435;Abril
0083-0936;BT RESIDENCIAL;559;Abril
0083-0937;BT RESIDENCIAL;599;Abril
0083-0938;BT RESIDENCIAL;256;Abril
0083-0939;BT RESIDENCIAL;443;Abril
0083-0940;BT RESIDENCIAL;603;Abril
0083-0943;BT RESIDENCIAL;653;Abril
0083-0944;BT RESIDENCIAL;2365;Abril
0083-0945;BT RESIDENCIAL;356;Abril
0083-0946;BT RESIDENCIAL;532;Abril
0083-0947;BT RESIDENCIAL;768;Abril
0083-0950;BT RESIDENCIAL;666;Abril
0083-0951;BT RESIDENCIAL;122;Abril
0083-0952;BT RESIDENCIAL;581;Abril
0083-0955;BT RESIDENCIAL;1139;Abril
0083-0956;BT RESIDENCIAL;197;Abril
0083-0959;BT RESIDENCIAL;1087;Abril
0083-0960;BT RESIDENCIAL;416;Abril
0083-0964;BT RESIDENCIAL;165;Abril
0083-0965;BT RESIDENCIAL;364;Abril
0083-0966;MT GENERAL;23827;Abril
0083-0968;MT GENERAL;987;Abril
0006-0716;BT GENERAL;1322;Abril
0006-0717;BT RESIDENCIAL;395;Abril
0006-0718;BT RESIDENCIAL;599;Abril
0006-0719;BT RESIDENCIAL;220;Abril
0006-0721;BT GENERAL;520;Abril
0006-0729;BT RESIDENCIAL;259;Abril
0006-0730;BT RESIDENCIAL;406;Abril
0006-0731;BT RESIDENCIAL;1602;Abril
0006-0732;BT RESIDENCIAL;40;Abril
0006-0733;BT RESIDENCIAL;158;Abril
0006-0734;BT SOCIAL;143;Abril
0006-0735;BT RESIDENCIAL;721;Abril
0006-0736;BT RESIDENCIAL;129;Abril
0006-0737;BT RESIDENCIAL;675;Abril
0006-0739;BT SOCIAL;60;Abril
0006-0741;BT RESIDENCIAL;422;Abril
0006-0742;BT SOCIAL;849;Abril
0006-0744;BT RESIDENCIAL;1048;Abril
0006-0746;BT RESIDENCIAL;236;Abril
0006-0750;BT RESIDENCIAL;643;Abril
0006-0752;BT RESIDENCIAL;595;Abril
0006-0753;BT RESIDENCIAL;529;Abril
0006-0756;BT RESIDENCIAL;510;Abril
0006-0759;BT RESIDENCIAL;518;Abril
0006-0766;BT RESIDENCIAL;352;Abril
0006-0768;BT RESIDENCIAL;848;Abril
0006-0772;BT RESIDENCIAL;455;Abril
0006-0773;BT RESIDENCIAL;983;Abril
0006-0776;BT RESIDENCIAL;602;Abril
0006-0777;BT RESIDENCIAL;416;Abril
0006-0799;MT INDUSTRIAL;10190;Abril
0006-0807;BT RESIDENCIAL;30;Abril
0006-0812;BT RESIDENCIAL;729;Abril
0006-0816;BT SOCIAL;136;Abril
0006-0820;BT RESIDENCIAL;1142;Abril
0006-0828;BT RESIDENCIAL;706;Abril
0006-0832;BT RESIDENCIAL;30;Abril
0006-0833;BT RESIDENCIAL;784;Abril
0006-0834;BT GENERAL;78;Abril
0006-0846;BT RESIDENCIAL;231;Abril
0006-0848;BT RESIDENCIAL;228;Abril
0006-0852;BT RESIDENCIAL;1478;Abril
0006-0858;BT SOCIAL;133;Abril
0006-0859;BT RESIDENCIAL;1261;Abril
0083-0969;BT RESIDENCIAL;353;Abril
0083-0970;MT GENERAL;1092;Abril
0083-0971;BT RESIDENCIAL;700;Abril
0083-0972;BT RESIDENCIAL;224;Abril
0083-0973;BT GENERAL;1002;Abril
0083-0974;MT GENERAL;2826;Abril
0083-0975;MT GENERAL;1196;Abril
0083-0976;BT RESIDENCIAL;123;Abril
0083-0977;BT RESIDENCIAL;401;Abril
0083-0978;BT RESIDENCIAL;30;Abril
0083-0979;BT RESIDENCIAL;719;Abril
0083-0980;BT GENERAL;1514;Abril
0083-0981;BT RESIDENCIAL;1277;Abril
0083-0982;BT RESIDENCIAL;30;Abril
0083-0983;BT RESIDENCIAL;450;Abril
0083-0984;BT RESIDENCIAL;30;Abril
0083-0985;BT RESIDENCIAL;706;Abril
0083-0986;BT RESIDENCIAL;1434;Abril
0083-0991;BT RESIDENCIAL;586;Abril
0083-0992;BT RESIDENCIAL;899;Abril
0083-0993;BT RESIDENCIAL;477;Abril
0083-0996;BT RESIDENCIAL;1061;Abril
0083-0998;MT GENERAL;675;Abril
0083-0999;BT GUBERNAMENTAL;1075;Abril
0086-0008;BT GUBERNAMENTAL;240;Abril
0086-0009;BT RESIDENCIAL;479;Abril
0086-0011;BT RESIDENCIAL;348;Abril
0086-0012;BT RESIDENCIAL;217;Abril
0086-0014;BT RESIDENCIAL;240;Abril
0086-0015;BT RESIDENCIAL;120;Abril
0086-0017;BT RESIDENCIAL;120;Abril
0086-0020;BT RESIDENCIAL;570;Abril
0086-0021;BT RESIDENCIAL;120;Abril
0086-0023;BT RESIDENCIAL;656;Abril
0086-0024;BT RESIDENCIAL;464;Abril
0086-0026;BT RESIDENCIAL;474;Abril
0086-0027;BT RESIDENCIAL;120;Abril
0306-0228;BT RESIDENCIAL;991;Abril
0306-0229;BT RESIDENCIAL;699;Abril
0306-0232;BT RESIDENCIAL;238;Abril
0306-0234;BT RESIDENCIAL;759;Abril
0306-0236;BT RESIDENCIAL;752;Abril
0306-0238;BT RESIDENCIAL;769;Abril
0306-0240;BT RESIDENCIAL;2270;Abril
0306-0242;BT RESIDENCIAL;1464;Abril
0306-0244;BT RESIDENCIAL;625;Abril
0306-0346;BT GENERAL;1240;Abril
0306-0348;BT GENERAL;1656;Abril
0006-0860;BT RESIDENCIAL;597;Abril
0006-0899;MT GENERAL;613;Abril
0006-0904;BT RESIDENCIAL;79;Abril
0006-0905;BT GENERAL;499;Abril
0006-0906;BT GUBERNAMENTAL;804;Abril
0006-0910;BT RESIDENCIAL;415;Abril
0006-0911;BT RESIDENCIAL;590;Abril
0006-0912;BT RESIDENCIAL;120;Abril
0006-0913;BT RESIDENCIAL;114;Abril
0006-0914;BT GENERAL;83;Abril
0006-0915;BT RESIDENCIAL;864;Abril
0006-0916;BT RESIDENCIAL;187;Abril
0006-0917;BT RESIDENCIAL;899;Abril
0006-0918;BT RESIDENCIAL;1209;Abril
0006-0925;BT RESIDENCIAL;649;Abril
0006-0926;BT RESIDENCIAL;421;Abril
0006-0928;BT RESIDENCIAL;790;Abril
0006-0930;BT SOCIAL;177;Abril
0006-0933;BT RESIDENCIAL;480;Abril
0006-0936;BT SOCIAL;183;Abril
0006-0939;BT SOCIAL;455;Abril
0006-0940;BT SOCIAL;33;Abril
0006-0941;BT RESIDENCIAL;390;Abril
0006-0942;BT RESIDENCIAL;30;Abril
0006-0945;BT RESIDENCIAL;263;Abril
0006-0946;BT RESIDENCIAL;947;Abril
0006-0947;BT RESIDENCIAL;326;Abril
0006-0948;BT RESIDENCIAL;614;Abril
0006-0949;BT RESIDENCIAL;758;Abril
0006-0953;BT RESIDENCIAL;795;Abril
0006-0954;BT RESIDENCIAL;398;Abril
0006-0956;BT SOCIAL;213;Abril
0083-0619;BT SOCIAL;183;Abril
0083-0620;BT SOCIAL;195;Abril
0306-0350;BT RESIDENCIAL;1342;Abril
0306-0351;BT RESIDENCIAL;1049;Abril
0306-0353;BT RESIDENCIAL;742;Abril
0306-0354;BT RESIDENCIAL;3180;Abril
0306-0355;BT SOCIAL;470;Abril
0306-0356;BT RESIDENCIAL;749;Abril
0306-0357;BT RESIDENCIAL;2603;Abril
0306-0358;BT RESIDENCIAL;6142;Abril
0306-0359;BT RESIDENCIAL;884;Abril
0306-0360;BT RESIDENCIAL;959;Abril
0306-0361;BT RESIDENCIAL;937;Abril
0306-0364;BT RESIDENCIAL;1969;Abril
0306-0365;BT RESIDENCIAL;1939;Abril
0306-0366;BT RESIDENCIAL;520;Abril
0306-0367;BT RESIDENCIAL;3691;Abril
0306-0368;BT RESIDENCIAL;1056;Abril
0306-0371;BT RESIDENCIAL;465;Abril
0306-0372;BT RESIDENCIAL;328;Abril
0306-0373;BT RESIDENCIAL;1834;Abril
0306-0374;BT GENERAL;4064;Abril
0306-0375;BT RESIDENCIAL;2197;Abril
0306-0376;BT RESIDENCIAL;3088;Abril
0083-0621;BT SOCIAL;72;Abril
0083-0622;BT SOCIAL;153;Abril
0083-0623;BT SOCIAL;91;Abril
0083-0625;BT SOCIAL;192;Abril
0083-0626;BT SOCIAL;91;Abril
0083-0627;BT GENERAL;30;Abril
0083-0629;BT RESIDENCIAL;106;Abril
0083-0631;BT RESIDENCIAL;122;Abril
0083-0633;BT RESIDENCIAL;269;Abril
0083-0634;BT RESIDENCIAL;196;Abril
0083-0640;BT SOCIAL;149;Abril
0083-0646;MT GENERAL;499;Abril
0083-0647;BT SOCIAL;87;Abril
0083-0648;BT SOCIAL;180;Abril
0083-0655;BT SOCIAL;181;Abril
0083-0658;BT RESIDENCIAL;143;Abril
0083-0660;BT SOCIAL;279;Abril
0083-0666;BT SOCIAL;107;Abril
0083-0667;BT SOCIAL;158;Abril
0083-0710;BT SOCIAL;121;Abril
0083-0716;BT SOCIAL;119;Abril
0083-0728;BT SOCIAL;117;Abril
0083-0729;BT SOCIAL;104;Abril
0083-0732;BT SOCIAL;97;Abril
0083-0735;MT GENERAL;621;Abril
0083-0736;BT GENERAL;30;Abril
0083-0739;BT RESIDENCIAL;246;Abril
0083-0740;BT SOCIAL;202;Abril
0083-0741;BT SOCIAL;125;Abril
0083-0742;BT SOCIAL;231;Abril
0083-0743;BT SOCIAL;109;Abril
0083-0744;BT RESIDENCIAL;266;Abril
0083-0745;BT SOCIAL;251;Abril
0306-0378;BT RESIDENCIAL;702;Abril
0306-0380;BT GENERAL;240;Abril
0306-0381;BT GENERAL;7913;Abril
0306-0382;BT RESIDENCIAL;222;Abril
0306-0383;BT GENERAL;3400;Abril
0306-0384;BT RESIDENCIAL;1042;Abril
0306-0385;BT RESIDENCIAL;632;Abril
0306-0386;BT RESIDENCIAL;768;Abril
0306-0387;BT RESIDENCIAL;573;Abril
0306-0388;BT RESIDENCIAL;1182;Abril
0306-0389;BT RESIDENCIAL;59;Abril
0306-0390;BT RESIDENCIAL;1208;Abril
0306-0393;BT RESIDENCIAL;526;Abril
0306-0394;BT RESIDENCIAL;862;Abril
0306-0401;BT RESIDENCIAL;1111;Abril
0306-0402;BT RESIDENCIAL;1296;Abril
0306-0403;BT RESIDENCIAL;524;Abril
0306-0404;BT RESIDENCIAL;471;Abril
0306-0405;BT RESIDENCIAL;1261;Abril
0306-0408;BT RESIDENCIAL;1212;Abril
0306-0409;BT RESIDENCIAL;1978;Abril
0306-0410;BT RESIDENCIAL;120;Abril
0306-0411;BT RESIDENCIAL;1121;Abril
0306-0412;BT RESIDENCIAL;1628;Abril
0306-0413;BT RESIDENCIAL;2417;Abril
0306-0416;BT RESIDENCIAL;1888;Abril
0306-0417;BT RESIDENCIAL;348;Abril
0306-0420;BT RESIDENCIAL;839;Abril
0306-0421;BT RESIDENCIAL;58;Abril
0306-0422;BT RESIDENCIAL;1768;Abril
0306-0425;BT RESIDENCIAL;520;Abril
0306-0427;BT RESIDENCIAL;1219;Abril
0306-0432;BT RESIDENCIAL;1007;Abril
0083-0747;MT GENERAL;278;Abril
0083-0748;MT GENERAL;262;Abril
0083-0750;BT SOCIAL;21;Abril
0083-0751;BT RESIDENCIAL;30;Abril
0083-0800;BT SOCIAL;141;Abril
0083-0803;BT SOCIAL;49;Abril
0083-0806;BT RESIDENCIAL;172;Abril
0083-0807;BT SOCIAL;34;Abril
0083-0808;BT SOCIAL;91;Abril
0083-0809;BT RESIDENCIAL;104;Abril
0083-0812;BT RESIDENCIAL;168;Abril
0083-0816;BT SOCIAL;257;Abril
0083-0818;BT GENERAL;30;Abril
0083-0820;BT RESIDENCIAL;536;Abril
0083-0821;BT SOCIAL;57;Abril
0083-0822;BT RESIDENCIAL;239;Abril
0083-0825;BT SOCIAL;219;Abril
0083-0826;BT RESIDENCIAL;117;Abril
0083-0828;BT RESIDENCIAL;128;Abril
0083-0829;BT RESIDENCIAL;368;Abril
0083-0831;BT RESIDENCIAL;30;Abril
0083-0832;BT SOCIAL;46;Abril
0083-0834;BT GENERAL;60;Abril
0083-0835;BT RESIDENCIAL;223;Abril
0083-0843;BT SOCIAL;91;Abril
0083-0850;BT RESIDENCIAL;125;Abril
0083-0852;BT SOCIAL;251;Abril
0083-0857;BT SOCIAL;140;Abril
0083-0858;BT RESIDENCIAL;458;Abril
0083-0867;BT RESIDENCIAL;568;Abril
0083-0869;BT SOCIAL;91;Abril
0083-0900;BT RESIDENCIAL;185;Abril
0083-0901;BT RESIDENCIAL;215;Abril
0083-0902;BT RESIDENCIAL;349;Abril
0306-0433;BT RESIDENCIAL;5779;Abril
0306-0434;BT RESIDENCIAL;584;Abril
0306-0435;BT RESIDENCIAL;1233;Abril
0306-0436;BT RESIDENCIAL;1179;Abril
0306-0437;BT RESIDENCIAL;249;Abril
0306-0438;BT RESIDENCIAL;442;Abril
